회차,시간,인물,대사
3,0~5,두한,빚 장부도 다 내놓으시오.
3,5~10,두한,좋아요. 그렇다면 할 수 없지요. 불에 타죽어도 나는 몰라요! 지금 그런 모습으로 밖에 나오면 두 사람 모두 동네 사람들에게 맞아죽을 거예요.
3,5~10,두한,안 내놓면 정말 여기다 불을 지를 거예요!
3,5~10,두한,내가 잘못한 게 아니야. 나는 마을 사람들에게 좋은 일을 한 거야. 외삼촌도 빼앗긴 걸 모두 찾게 될 거야. 나는 나쁜 짓을 한 게 아니야.*
3,5~10,두한,어? 여기 분명 길이 있었는데? 그리고 여기 산 올라가는 길도 있었는데? 어디지?*
3,15~20,두한,나는 나쁜 짓을 안 했어요! 가네야마 그 놈이 나쁜 놈이에요. 온 마을 사람들을 괴롭히는 자예요. 그 자는 고리대금업자예요. 남의 집도 빼앗고 땅도 빼앗고 그리고 남의 여자까지 빼앗었어요.
3,15~20,두한,그랬어요. 내 시계도 뺏었지만 내가 되찾았어요.
3,15~20,두한,훔치진 않았어요! 내가 빼앗은 거예요.
3,15~20,두한,모르겠어요...
3,20~25,두한,경성으로요.
3,20~25,두한,예...
3,20~25,두한,예.
3,20~25,두한,나는 일본 애가 아니에요! 그건 내 이름이 아니에요...
3,25~30,두한,잘 모르겠어요.
3,25~30,두한,아저씨들은 무슨 장사하시는데요?*
3,30~35,두한,왜 우리만 가요?** 저 아저씨 어떻게 하고 왜 우리만 가요?*
3,30~35,두한,"아저씨, 안 오잖아요! 아저씨!*"
3,30~35,두한,"아저씨, 안 오잖아요!*"
3,30~35,두한,아저씨! 어? 아저씨가 와요. 아저씨예요! 아저씨!
3,45~50,두한,아니요.*
3,45~50,두한,"됐어요. 갈 거예요. 고마웠어요, 아저씨들.*"
3,45~50,두한,내 이름은 긴또깡이 아니에요! 내 이름은 김두한이에요. 김두한이란 말이에요!*
3,45~50,두한,화를 내서 미안해요...*
3,45~50,두한,안녕히들 계세요.*
3,45~50,두한,"어어, 어머니... 어머니!*"
3,55~60,두한,아니야! 난 도둑질하지 않았어!
3,55~60,두한,"아니야, 난!"
3,55~60,두한,악...
3,55~60,두한,악...*
3,55~60,두한,"이거 놔! 이거 놓으란 말이야, 이거 놔! 이거 놔!! 이거 놔!*"
3,60~65,두한,이거 놔! 놓으란 말이야! 이거 놔! 이거 놔! 이거 놔! 이거 놔! 이거 안 놔?! 이거 놔!*
3,60~65,두한,안 돼...!** 안 돼! 이 씨...
3,60~65,두한,아니야! 이건 우리 아버지께서 주신 거야.
3,60~65,두한,"안 돼요. 이건, 절대 안 돼요."
3,60~65,두한,이건 안 돼요!
3,60~65,두한,이건 내 거예요. 훔친 게 아니란 말이에요!
3,60~65,두한,안돼요! 이익! 악! 안돼요! 절대 안 돼요! 안돼요! 안돼요...*
4,0~5,두한,아니야! 난 도둑질하지 않았어!
4,0~5,두한,"아니야, 난!"
4,0~5,두한,악...
4,0~5,두한,악...*
4,0~5,두한,"이거 놔! 이거 놓으란 말이야, 이거 놔! 이거 놔!! 이거 놔!*"
4,0~5,두한,이거 놔! 놓으란 말이야! 이거 놔! 이거 놔! 이거 놔! 이거 놔! 이거 안 놔?! 이거 놔!*
4,0~5,두한,아니야! 이건 우리 아버지께서 주신 거야.
4,0~5,두한,"안 돼요. 이건, 절대 안 돼요."
4,0~5,두한,이... 이건 안 돼요!
4,0~5,두한,이건 내 거예요. 훔친 게 아니란 말이에요!
4,0~5,두한,안돼요! 이익! 악! 안돼요! 절대 안 돼요! 안돼요! 안돼요...*
4,0~5,두한,안돼요! 안돼요... 안돼요! 이건 우리 아버지가 주신 거예요.*
4,5~10,두한,안돼. 그 시계는 절대.
4,5~10,두한,아무도 내 시계는 건드릴 수 없어.
4,5~10,두한,김두한이야.
4,20~25,두한,그냥 가자. 없다고 하잖아?*
4,25~30,두한,응...*
4,25~30,두한,그건 그래.
4,45~50,두한,"밥 좀 주세요! 밥 좀 주세요, 아줌마! 아줌마! 밥 좀 주세요! 아줌마!"
4,45~50,두한,"아줌마! 아줌마, 밥 좀 주세요! 아줌마! 아줌마, 밥 좀 주세요! 후... 후..."
4,45~50,두한,어...
4,45~50,두한,옛날에 어머니하구 할머니하고 같이 살던 집이었어...
4,45~50,두한,지금은 아니야.
4,50~55,두한,싫어!
4,50~55,두한,극장 구경?*
4,50~55,두한,공짜?*
4,55~60,두한,"어, 어얼씨구씨구 들어간다... 절씨구씨구 들어간다... 작년에 왔던 각설이가 죽, 죽지도 않고 또 왔네... 어, 어, 어얼..."
4,60~65,두한,"어, 어, 어얼씨구 씨구 들어간다... 저절..."
4,60~65,두한,"ㅇ, 어... 어얼씨구 씨구 들어간다... 저절씨구 씨구 들어간다... 작년에 왔던..."
4,60~65,두한,"각설이가, 죽지도 않고 또 왔네 얼씨구 씨구 들어간다 저절씨구 씨구 들어간다...*"
4,60~65,두한,어얼 놈이 일해도 정승판서 자제로 팔도강산 마다허고 돈한푼에 팔려서 각설이로만 나섰네 어얼씨구 씨구 들어간다 저절씨구 씨구 들어간다...**
5,0~5,두한,얼씨구 씨구 들어간다... 절씨구 씨구 들어간다...*
5,0~5,두한,작년에 왔던 각설이가 죽지도 않고 또 왔네 얼씨구씨구 들어간다... 절씨구 씨구 들어간다...*
5,5~10,두한,왜 마적이라고 했을까?
5,5~10,두한,하..하지만 이 변소간 밑으로??
5,10~15,두한,어 굉장했어. 또 보고 싶어.
5,10~15,두한,"아, 참 그 배우 정말 재밌었어. 어... 짜플린이라고 하던가?"
5,10~15,두한,"아 참, 극장앞에서 본 그 구마적이란 사람. 정말 그렇게 쎄니?"
5,15~20,두한,훔치는 건 나도 싫어.
5,15~20,두한,"진영아, 너는 왜 안먹어?"
5,15~20,두한,"하지만 지, 진영아..."
5,20~25,두한,얘는 잘못없어요! 내가 활동사진을 보자 그랬어요! 그래서 동냥을 하지 못했어요!
5,20~25,두한,그래요! 이 호떡도 훔쳐온 거에요!
5,25~30,두한,한푼만 주세요...**
5,25~30,두한,가고 싶지만... 다음에...
5,25~30,두한,아저씨!
5,25~30,두한,아는 아저씨야! 아저씨!
5,35~40,두한,아저씨......*
5,35~40,두한,미와야....
5,35~40,두한,저 왜놈순사 이름이야.
5,35~40,두한,미와가 우리 어머닐 죽였어. 아무 죄도 없는 우리 어머니를... 할머니도 미와가 돌아가시게 했어.*
5,35~40,두한,지금은... 나를 잡으려고 하고있어.*
5,35~40,두한,아버지 때문이야. 우리 아버지 때문이야. 우리 아버지는 독립군 장군이시니까.*
5,35~40,두한,그래. 미와는 우리 아버지같은 사람만 잡는 형사야. 나는 저 죽은 아저씨도 알고있어. 그 아저씨도 독립군이야.*
5,35~40,두한,너희들 비밀 지킬수 있어?* 허... 만주에 계셔. 거기엔 독립군들이 아주 많아.
5,35~40,두한,난 거기서 아버지를 만났어. 시계도 그 때 아버지께서 주신 거야. 우리 아버진 독립군 총사령관이셔.*
5,35~40,두한,김좌진 장군이셔.*
5,35~40,두한,너희들 비밀 꼭 지켜야 돼. 알았지?*
5,35~40,두한,죽은 아저씨에 대해서도 말하면 안 돼. 알았지?*
5,50~55,두한,"진영아, 아직도 그렇게 비 많이오니?"
5,50~55,두한,뭐라고 써 있는거지?
5,50~55,두한,미와는 나쁜 놈이야... 내가 좋아하는 사람을 죽였어. 언젠간 내가 꼭 혼을 내줄거야! 꼭! 흐...
5,60~65,두한,그만 때려요!*
5,60~65,두한,그만 때려요. 이건 너무한 거에요! 아픈 사람을 이렇게 하는 법은 없어요.*
5,60~65,두한,그렇지 않아요! 결투를 신청하는 거에요!
5,60~65,두한,으악!*
5,60~65,두한,이야아아!*
6,0~5,두한,그만 때려요!*
6,0~5,두한,그만 때려요. 이건 너무한 거에요! 아픈 사람을 이렇게 하는 법은 없어요!*
6,0~5,두한,그렇지 않아요. 결투를 신청하는 거에요...!
6,0~5,두한,으악...*
6,0~5,두한,이야아아!
6,0~5,두한,으아아!*
6,0~5,두한,으아아아!*
6,0~5,두한,물러서! 다들 물러서란 말이야!* 나는 비겁한 싸움은 안 해! 일어나! 어서 덤벼! 덤비란 말이야!
6,0~5,두한,이야압!*
6,5~10,두한,나는 왕초란 소리는 싫어. 기왕이면 대장이란 소리가 좋아.
6,5~10,두한,"지금부터 약한 자는 도와주고, 아픈 자는 약을 사다줘야 돼. 큰 잘못이 없는한, 시비를 걸거나 때리는 일도 없어야 돼. 그것 뿐이야. 왕눈이!"
6,5~10,두한,넌 지금까지 왕초와 함께 많은 아이들을 괴롭혔어. 이제 그러면 용서 못 해.
6,5~10,두한,"그래, 그렇게 하자."
6,5~10,두한,그래! 그렇게 하자!*
6,20~25,두한,흐... 용기가 아니야. 싸움은 자신감이 없으면 안되는 거야.
6,20~25,두한,그렇진 않아. 얼마전에 호떡 때문에 니가 맞고 있을때 그때 왕초의 실력을 알아봤어.
6,20~25,두한,"하... 니가 한참 맞을 때 내가 말리느냐고 왕초의 허리를 잡았잖아, 그 때 왕초의 힘을 알 수가 있었어. 생각보다 약하더라고. 그래서 결심을 하 된 거야."
6,20~25,두한,너도 그래.
6,20~25,두한,먹고 싶은거 없어.
6,20~25,두한,그만해.
6,20~25,두한,"그런데 진영아, 공부가 재미있어?"
6,20~25,두한,어... 교동보통학교 이학년까지 다녔는데...
6,20~25,두한,"그, 그... 간신히 더듬긴 하지만... 잘 몰라. 경찰서에 불려 다니느라고..."
6,20~25,두한,넌 지난번에도 그런 얘길했어. 꼭 그렇게 될 거야.
6,20~25,두한,생각해볼게..
6,20~25,두한,알았어... 내일은 구걸을 나가야 돼. 그만들 자자.
6,25~30,두한,"그래, 이따가들 만나자!"
6,25~30,두한,아줌마! 아줌마! 밥 좀 주세요!
6,25~30,두한,하... 할아버지...*
6,25~30,두한,예...* 옛날에 경찰서에서 봤어요. 기자 아저씨예요... 저희집에도 오셨고...
6,25~30,두한,아는 사람들.*
6,25~30,두한,알 수가 없었어요. 찾으려고 했지만... 그럴 수가 없었어요.
6,30~35,두한,제 친구들 진영이하고 개코에요. 인사해 진영아.
6,30~35,두한,"예...? 큰어머님이 오셨다구요? 할머니도요? 그, 그럼 아버지도 오셨나요...?"
6,30~35,두한,어... 큰어머니하고 할머님이 오셨대... 인사만 드리고 나서 금방 올게...*
6,30~35,두한,진영아...*
6,30~35,두한,진영아... 넌 참 좋은아이였어.*
6,30~35,두한,진영아...*
6,30~35,두한,멀리 가는 건 아니야.. 자주 올 거야...*
6,30~35,두한,"진영아, 자주 올게.. 잊지 않을 거야. 자주 올 거야.*"
6,35~40,두한,예...*
6,35~40,두한,그... 그 아저씨가요?
6,40~45,두한,예...
6,40~45,두한,울진 않았어요. 아버지께서 사내는 눈물을 보여선 안된다고 하셨어요.*
6,40~45,두한,울음이 나오긴 했지만 그 때마다 아버지께서 주신 시계를 보면서 참았어요. 난 울지 않았어요. 여기 이 시계가 있거든요.*
6,40~45,두한,"예, 할머니."
6,45~50,두한,"예, 할머니..."
6,45~50,두한,진영아!*
6,50~55,두한,그 아저씬 죽었어요... 죽는 걸 봤어요...
6,50~55,두한,미와가 죽였어요. 미와가 그 아저씨를...!
6,50~55,두한,그렇게 할 거에요...
6,50~55,두한,"예, 할아버지."
6,50~55,두한,아뇨... 그게 아니라...
6,50~55,두한,나는 그 아이들의 대장이었어요. 나 혼자 이렇게 맛있는 것을 먹는다는 것이...
6,50~55,두한,"예, 할아버지..."
6,55~60,두한,어... 어머니! 어머니!*
6,55~60,두한,어머니... 어머니...*
7,15~20,두한,"지, 진영이예요...! 진영이하고 개코예요, 할아버지.*"
7,15~20,두한,하지만 할아버지...*
7,15~20,두한,예.*
7,15~20,두한,"혼내줄 사람들이 많아요. 돌아가신 우리 어머니, 할머니, 그리고 나석주 아저씨의 복수도 해줘야 돼요.*"
7,15~20,두한,그리고 또 독립군이 될려면 싸움을 잘해야 돼요.*
7,15~20,두한,"가르쳐 주세요, 아저씨.*"
7,15~20,두한,할 수 있어요.*
7,15~20,두한,그렇게 하겠어요.*
7,15~20,두한,"예, 아저씨.*"
7,20~25,두한,다녀왔습니다.*
7,20~25,두한,"아니요, 오히려 힘이 나는 걸요? 하..."
7,20~25,두한,"예, 할아버지."
7,20~25,두한,저도 신이 나는 걸요?
7,20~25,두한,"아이, 형도 참... 이 집에서 제일 힘든 사람은 형이에요. 이 집은 형이 없으면 아무 것도 안 된다구요. 정말요!"
7,20~25,두한,예?
7,20~25,두한,예.
7,20~25,두한,아니요. 일하는 게 재밌어요.
7,25~30,두한,"예, 할아버지..."
7,25~30,두한,"하, 하지만..."
7,25~30,두한,"어? 이, 이렇게나 많이요...?"
7,25~30,두한,"어, 어머니! 할머니!*"
7,30~35,두한,어떻게 된 거지? 진영이 애들이 아무도 보이지가 않네?*
7,30~35,두한,그만둬! 그만두란 말이야! 이게 무슨 짓들이야! *
7,30~35,두한,비겁한 놈들... 여럿이서 한 사람을 괴롭히는 건 옳지가 않아.
7,30~35,두한,"말로 할때, 다들 물러서. 어서.*"
7,30~35,두한,이 아일 보내줘!*
7,30~35,두한,한 번 더 해볼 거야?*
7,30~35,두한,"괜찮아. 자, 어서 가 봐. 그리고 앞으로는 죽을 각오로 싸워... 저런 쪽발이 놈들한테 기죽을 거 하나도 없어."
7,30~35,두한,너희들!
7,30~35,두한,또 한번 이유 없이 조선 학생들 괴롭히면 그 땐 용서 안할 거야. 알았어?!
7,30~35,두한,가 봐.
7,30~35,두한,너도 가 봐.
7,30~35,두한,기죽지마... 알았어?
7,30~35,두한,할아버지는요?
7,30~35,두한,그냥요...
7,30~35,두한,"예, 할아버지... 어디 가세요?"
7,30~35,두한,예...
7,35~40,두한,예. 다녀오세요.
7,35~40,두한,저 여깄어요!
7,35~40,두한,우리 할아버지 욕하지 말아요.
7,35~40,두한,예...*
7,35~40,두한,저 일본 아이들이 저보다 작은 조선아이 하나를 몰매를 때리고 있었어요. 저는 그 애를 구해주기 위해서 그런거예요.
7,35~40,두한,할아버지! 
7,35~40,두한,"하, 할아버지...*"
7,35~40,두한,"죄송해요, 할아버지. 저 때문에 일본 사람들한테..."
7,40~45,두한,아버님!
7,40~45,두한,"어떻게 오셨어요? 여긴 어떻게 오셨어요, 아버님?*"
7,40~45,두한,그렇게 빨리요...? 지금 오셨잖아요?*
7,40~45,두한,"어디로 가시는 데요, 아버님? 예, 아버님...?*"
7,40~45,두한,"예, 아버님...*"
7,40~45,두한,"미와! 안 돼! 안돼, 미와! 안 돼!!*"
7,45~50,두한,아버님! 아버님 죽으면 안돼요...
7,45~50,두한,예... 아버님께서... 아버님께서 꿈 속에 나타나셨어요....
7,45~50,두한,아버님... 아버님... 아버님...**
7,45~50,두한,예. 어제 보니까 거리에 나오지 않았더라고요. 무슨 일이 있는가 싶어서요.
7,45~50,두한,오늘은 거기 있을 거예요. 비가 오면 동냥을 나가지 못하거든요.
7,45~50,두한,"개코예요, 할아버지."
7,45~50,두한,예.
7,50~55,두한,아저씨?*
7,50~55,두한,예... 아저씨.*
7,50~55,두한,"예, 수표교에 가는 길이에요.*"
7,50~55,두한,저... 학교에 다니지 않아요.*
7,50~55,두한,저 먼저 가볼게요. 비가 그치면 아이들이 종로로 나올지도 모르거든요. 안녕히 가세요.*
7,50~55,두한,잘들 있었어?*
7,50~55,두한,"오랜만이다, 개코. 진영이는?"
7,50~55,두한,"아, 아니야... 너도 보고싶었어... 어, 진영아!"
7,55~60,두한,"저예요, 두한이에요."
7,55~60,두한,그동안 안녕하셨어요?
7,55~60,두한,예.
7,55~60,두한,"아 참! 진영아, 이거..."
7,55~60,두한,사골하구 고기야. 할아버지께서 싸주셨어. 너희 어머니 드리라고.
7,55~60,두한,아니에요. 어머니께서 드셔야돼요. 아이들 거는 제가 다음에 또 가져올 게요.
7,55~60,두한,그래.
7,55~60,두한,뭘... 난 그냥 심부름 온 것 뿐인데 뭐...
7,55~60,두한,참 개코야. 이거 받어. 아이들 줄려고 가져 왔어.
7,55~60,두한,형! 무슨 일이예요?
7,55~60,두한,왜 그래요 형? 진짜 무슨 일 있는 거예요?
7,55~60,두한,형...
7,55~60,두한,"하, 할아버지가요?"
7,55~60,두한,"예, 할머니..."
7,60~65,두한,아버지께서요...? 아버지께서요...?*
8,0~5,두한,"예, 할머니..."
8,0~5,두한,아버지께서요...? 아버지께서요...?*
8,0~5,두한,"예, 할머니...*"
8,0~5,두한,"예, 할머니...*"
8,0~5,두한,예...*
8,0~5,두한,"예, 큰어머니...*"
8,15~20,두한,아버님... 원수를 갚아드리겠습니다. 이 두한이가 그렇게 할 거예요. 아버님을 돌아가시게 한 일본 놈들에게 꼭 복수해 드릴게요...*
8,15~20,두한,예.
8,20~25,두한,죽였어요?*
8,20~25,두한,"예, 배우겠어요. 반드시 배우고야 말겠어요.*"
8,25~30,두한,예...*
8,25~30,두한,"예, 아저씨...**"
8,30~35,두한,왜 그래요 형? 진짜 무슨 일 있는 거예요?*
8,35~40,두한,여긴 왜 왔어요?
8,35~40,두한,나가요. 여긴 우리 집이예요!
8,35~40,두한,할아버지...!*
8,35~40,두한,"예, 진영아, 이 쪽으로 와."
8,40~45,두한,아직은 내꺼 아니야.
8,40~45,두한,그런데 웬 일이야? 진영이 너 여기 오는 거 싫어했잖아? 
8,40~45,두한,그랬구나... 그래서 온 거구나...
8,40~45,두한,"고맙다, 진영아... 개코 너도."
8,40~45,두한,예?
8,40~45,두한,하지만... 전 원수를 갚을 거예요.*
8,45~50,두한,이야! 이야! 야앗!*
8,45~50,두한,"그래, 나는 할 수 있어. 할 수 있다고. 꼭 해낼 거야...*"
8,45~50,두한,아버님! 아버님! 해낼 거예요! 두한이는 해낼 거예요! 해낼 거에요! 아버님!*
8,45~50,두한,이야앗!*
8,45~50,두한,예.
8,50~55,두한,이야앗! 이야앗! 이야! 이야! 이야!*
8,50~55,두한,"부러졌어요...** 나무가 부러졌어요, 아저씨. 내가 나무를 부러트렸어요. 아저씨, 내가요!*"
8,55~60,두한,다녀왔습니다.*
8,55~60,두한,예? 떠나시다니요? 어디로요? 
8,55~60,두한,왜요? 왜 떠나신 거예요...?
8,55~60,두한,이야아아아!*
8,55~60,두한,이야아아아! 이야아아! 야아!!*
9,0~5,두한,이야아아! 야아아아! 야아아아!
9,0~5,두한,이야아아아!*
9,0~5,두한,저... 할아버지... 이제 그만 이곳을 떠나 만주로 가고 싶습니다. 
9,0~5,두한,"예, 할아버지."
9,0~5,두한,예. 
9,0~5,두한,갑자기가 아닙니다. 오래 전부터 이런 생각을 해 왔습니다. 만주는 아버님이 계시던 곳입니다. 독립군이 있는 곳이기도 하구요. 
9,0~5,두한,이제 그 곳으로 가서 아버님처럼 독립군이 되고 싶습니다.
9,0~5,두한,저 하지만 할아버지...
9,0~5,두한,저 혼자서라면 갈 수 있을 겁니다.
9,0~5,두한,"전 그렇게 생각하지 않습니다, 할아버지. "
9,0~5,두한,"하지만 할아버지, 그렇다고 해서 이렇게 시간만 보낼 수는 없습니다. "
9,0~5,두한,"예, 할아버지. "
9,5~10,두한,"하으... 예, 할아버지. "
9,5~10,두한,흐... 흠...
9,5~10,두한,"아 저... 아, 큰어머니? "
9,5~10,두한,예...
9,5~10,두한,"어, 예."
9,10~15,두한,"아, 예 큰어머니..."
9,15~20,두한,"아 저, 할아버지? "
9,15~20,두한,"흐, 수표교에 좀 다녀오려구요. "
9,15~20,두한,"예, 할아버지... 아 저, 그런데요. "
9,15~20,두한,"아유, 아닙니다. 그런 게 아니구요. 저기... 돼지 뼈 좀 싸가지고 갈까 해서요. 그 진영이란 친구 어머니가 계시거든요. 흐, 그래서..."
9,15~20,두한,"하, 예, 할아버지. "
9,25~30,두한,내가 뭐 못 올 데라도 왔냐? 오랜만이다 진영아. 
9,25~30,정진영,"그래! 반갑다, 두한아! 어머니가 많이 반가워하실 거야!"
9,25~30,두한,"자 이거 받어, 돼지 뼈야. 할아버지가 주신 거야. 장작 좀 주워다가 푹 고아서 어머니 좀 드려. "
9,25~30,정진영,고맙다. 올 때마다 이런 것을 들고 오는구나...
9,25~30,두한,"하 참, 무슨 소리야? 야 너 가마솥에 넣고 불을 지펴 인마. "
9,25~30,정진영,올라가자...
9,25~30,두한,그동안 안녕하셨어요? 
9,25~30,두한,건강은 괜찮으세요? 
9,25~30,두한,"흐, 네 "
9,25~30,두한,걱정하지 마세요. 나이는 많으시지만 아주 건강하시니까요. 
9,25~30,두한,야 이 진영이가 방을 아주 깨끗하게 잘 만들었구나? 하하...
9,25~30,정진영,자 들어가자. 집 뒤에다가 방을 하나 만들었어. 그래도 내 방이 있으니까 좋아. 응?
9,25~30,정진영,뭣이 어째 동생?
9,25~30,두한,예. 가자. 이 자식아. 하하..
9,25~30,두한,이야 대단하다! 야 근데 이 많은 책들 다 어디서 구한 거야? 
9,25~30,정진영,주은 것도 있고 얻은 것도 있고... 산 것도 있고...
9,25~30,두한,야 당연히 넌 이해가 안가지. 야 너처럼 처먹는 것만 밝히는 놈들이 이해가 가겠냐? 하... 
9,25~30,두한,뭐 막걸리...? 야 개코 너 술도 마시냐?
9,25~30,정진영,말도 마라. 담배에 술에 왕초 노릇 아주 단단히 한다
9,25~30,정진영,자식하고는... 
9,25~30,정진영,야 왕초라고 유세부리는 꼴 요즘 못 봐준단다? 어?
9,25~30,두한,하하하...* 아 하긴 뭐 지가 혼자 나섰으면 뭐 개코가 왕초지 뭐. 
9,25~30,두한,야야야 돈 여기 있다. 야 그냥 가져오라면 어디가서 가져 와? 야 이거 받어.
9,25~30,두한,어 그래. 아유 자식하고는 참... 하하...
9,25~30,두한,아유 자식 자식 여전하네 이거? 하하하하...*
9,25~30,두한,야야야 싫어 싫어...* 
9,25~30,두한,아 이 자식이 너 말 다했냐?*
9,25~30,두한,그래 한번 붙어볼까?*
9,30~35,두한,하하하 그렇다?*
9,30~35,두한,아 우리는 마실 줄 모르니까 너나 실컷 마셔라.
9,30~35,두한,"야야야, 아이 싫어싫어싫어... 아유."
9,30~35,정진영,"야, 개코, 너 또 취했다. 또 취했어... 그만 좀 마셔라. 어린 놈이 술은..."
9,30~35,두한,아 됐다 됐어...*
9,30~35,정진영,아 싫어...*
9,30~35,두한,"아이, 참...!"
9,30~35,두한,야 개코...!*
9,30~35,두한,아 이 자식 여전하구만...*
9,30~35,정진영,하하... 자 앉자. 으이구 참...*
9,30~35,두한,"아유! 어디보자 이 무슨 책들이 있나... 야 이거 도대체 뭔지 하나도 모르겠다. 아 이게 뭐드라...? 이거... 이게 공 자는 맞는 거 같은데, 야 이거 그 공산당 뭐 이런 거지? 그지? "
9,30~35,정진영,"그래, 공산당 선언이라는 책이야. 마르크스란 서양 사람이 지은 건데, 세상은 모두 평등하게 살아야 한다 그런 거래."
9,30~35,두한,야... 대단하다. 야 이제 너 서양 사람이 쓴 책도 읽냐? 
9,30~35,정진영,아 나두 실은 잘 몰라. 너무 어려운 말들이 많아서... 하지만 좋은 책인 건 분명해.
9,30~35,두한,"그래? 어디 한번 볼까? 음! 어... 만국의... 프로...레타... 아이, 답답해 진짜... 아 난 도대체 글을 모르겠다?"
9,30~35,정진영,"그러니까 공부를 해야지. 그 다음엔 이렇게 씌여있어. 프로레타리아여, 단결하라. 우리가 잃을 것은 쇠사슬뿐이다. "
9,30~35,두한,"야 근데, 그, 그 프로... 그, 그게 뭐냐? "
9,30~35,정진영,프로레타리아? 우리말로는 무산 계급을 말하는 건데...
9,30~35,두한,무산 계급은 또 뭐야...? 
9,30~35,정진영,하 이게... 쉽게 말하자면 우리 같이 못사는 사람들을 말하는 거야. 이 책 제목이 공산당 선언이잖아... 근데 이 공산당이 못사는 사람들을 위해 싸우는 사람들이래. 흐흐흐...
9,30~35,두한,야 너 정말 대단하다. 야 부럽다 자식아. 
9,30~35,정진영,헤... 지금도 늦지 않았어. 너도 공부를 해 봐.
