,회차,시간,인물,대사
119,51,15~20,김영태,"하긴 뭐, 다 혼란투성이니까 그렇다 치고... 그리고 말일세. 그 건준인가, 건국준비위원회인가 거기 치안대에서 사람들이 다녀갔네. 우리의 힘이 필요하다더구만.."
120,51,15~20,두한,치안대라니요?
121,51,15~20,김영태,일본 순사들이 사라졌으니 누구라도 나서서 그 일을 대신해야 할 것이 아닌가? 그 사람들이 바로 그 일을 하는 사람들일세.
122,51,15~20,두한,헌데... 뭘 도와달라는 겁니까?
123,51,15~20,김영태,치안대에 들어와 달라는 얘기지. 자네의 힘을 필요로 하는 거야. 그 사람들이 그러더구만. 새로운 조국 건설사업을 위해 영광스러운 임무를 맡아달라던가?
124,51,15~20,신영균,"이야, 그거 아주 그럴 듯한 말입니다! 하긴 요즘은 어딜가도 난리들 아닙니까? 한 주먹 한다는 주먹패들이 너도나도 청년단체니 뭐니, 정신이 없더라구요, 큰형님!"
125,51,15~20,두한,조국 건설사업...?
128,51,15~20,두한,"어, 무옥아. 영철아. 하하하..."
129,51,15~20,문영철,좋아보인다?
131,51,15~20,두한,명동?
132,51,15~20,김영태,무옥이하고 영철이가 요즘 그 쪽을 보고 있네. 하야시 오야붕이 조직을 해산한 이후 그 곳이 비었거든...
135,51,20~25,정진영,"예, 동지."
142,51,20~25,정진영,용감하고 물러설 줄 모르는 동지입니다. 저와 함께 생사를 같이 하기로 했습니다.
146,51,20~25,정진영,당이라고 하셨습니까? 조선 공산당 말씀이십니까?
148,51,20~25,정진영,이제 우리도 당원이 될 수 있단 말입니까? 당이라 당...!
151,51,20~25,정진영,"고맙습니다, 동지."
153,51,20~25,정진영,"예, 동지."
155,51,20~25,정진영,"예, 동지."
157,51,20~25,두한,김두한입니다.
160,51,20~25,두한,"알고 있습니다. 하하, 아 조국이 나의 힘을 원한다면은 얼마든지 치안대에 참여하겠습니다."
162,51,20~25,두한,헌데 이 한 가지 묻고싶은 것이 있습니다.
164,51,20~25,두한,이 근처에 있는 해군무관부 말입니다. 아직도 일장기가 날리고 있었습니다.
167,51,20~25,두한,"독립이 됐고, 해방이 됐습니다. 헌데 아직도 총독부니 일장기니 하는 것은 용납할 수가 없습니다. 다른 건 몰라도 최소한 이 김두한이가 있는 종로바닥에서는 말입니다."
170,51,20~25,두한,하하 그렇습니까? 나는 한 때 무엇을 해야할까 하고 고민을 했었소. 별 확답을 얻지 못하고 답답해했는데 누가 그럽디다. 분명 할 일이 찾아올 것이라고 말이오. 그 말이 딱 맞았소. 
171,51,20~25,두한,좋소. 그렇다면 그 일은 내가 하겠습니다. 해군무관부일 말입니다.
173,51,20~25,두한,"그 놈들을 내가 종로에서 쫓아내겠다, 그 말이오."
175,51,20~25,김영태,저들은 무장병력일세. 우리가 어떻게 저들을 해산시킬 수 있단 말인가?*
177,51,20~25,문영철,글쎄... 좀 힘들지 않겠냐? 상댄 해군무관부야.
178,51,20~25,신영균,해군이든 육군이든 큰형님이 하자면 하는 것이지 뭔 말들이 그렇게 많아?
179,51,20~25,개코,"근디... 이 달걀로 커다란 독댕이 깨긴디 그것도 맨손으로 워떻게 일본군, 더군다나 해군부대를 급습한다 그 말이여?"
183,51,25~30,두한,다시 한번 무옥이와 영철이는 무관부 주변의 지역을 탐색해봐. 그리고 영균아?
184,51,25~30,신영균,"예, 큰형님."
185,51,25~30,두한,근로보국대에서 쓰던 다이너마이트 있지? 그거 챙겨 놔.
186,51,25~30,신영균,알겠습니다. 큰형님
187,51,25~30,개코,"다, 다이너마이트라고...? "
188,51,25~30,김영태,이보게 두한이...?*
190,51,25~30,김영태,"하... 이거 어렵겠어, 두한이. 다시 한번 생각해보세.*"
191,51,25~30,두한,할 수 있습니다. 죽기를 결심하면은 충분히 할 수 있습니다.*
192,51,25~30,김영태,희생이 클 거야.*
193,51,25~30,두한,각오해야겠죠.
194,51,25~30,김영태,어젯밤에도 살펴봤는데 저들은 여전히 무기를 가지고 있어. 맨손으로 대항하는 것은 어리석은 짓이야.
195,51,25~30,두한,우리에겐 다이너마이트가 있습니다.
196,51,25~30,김영태,거 위험천만한 이야기는 그만 두게. 건준에서 저들을 보호해주기로 했어. 그렇게 되면 문제가 커져.
197,51,25~30,두한,저들을 다치거나 죽이게 하자는게 아닙니다. 이 종로바닥에서 나가달라는 얘기죠. 패전군이 되다보니 예상보다 경비는 허술한 것 같았습니다.
198,51,25~30,김영태,하지만 두한이...?
199,51,25~30,두한,제가 직접 앞장을 서겠습니다. 그렇게 알고 계십쇼.
200,51,25~30,이정재,단장님!
202,51,25~30,이정재,청년단 총무를 했던 이정잽니다.
203,51,25~30,김영태,아하... 자네였구만. 한동안 보이지를 않아서 고향으로 내려간 줄 알고 있었는데...
204,51,25~30,이정재,예 그렇게 되었습니다.
205,51,25~30,두한,물론 잘 지내고 있겠지?
206,51,25~30,이정재,예. 잠시 종로를 떠나 계셨다는 말은 들었습니다만...
207,51,25~30,두한,돌아온 지 얼마 되지 않았어.
208,51,25~30,이정재,그러셨군요.
209,51,25~30,김영태,"이, 어딜 가는 모양인데...?"
210,51,25~30,이정재,예. 선약이 있습니다. 조만간 시간을 내어 우미관에 들리겠습니다.
211,51,25~30,두한,음 그래.
212,51,25~30,김영태,계속 경성에 남아 있었다니 의외로군.
213,51,25~30,두한,까닭이 있었겠죠. 배운 것도 많고 주먹패로 썩기엔 아까운 친굽니다.
214,51,25~30,김영태,보통내기가 아니야. 야심도 커 보였고...
215,51,25~30,두한,그랬습니까?
216,51,25~30,김영태,그저 느낌일 뿐일세. 항상 속을 드러내 보이지 않는 것도 그렇고...
217,51,25~30,두한,글쎄요.
218,51,25~30,김영태,어서 가세. 다들 기다릴텐데...
219,51,25~30,나레이션,이정재. 앞으로 해방 이후의 주먹계를 대표하는 인물 중의 하나이고 김두한의 강력한 라이벌 중의 하나이다. 이정재는 김두한을 근로보국대에서 만났다. 
220,51,25~30,나레이션,그 이후 이때까지만 해도 그는 적어도 주먹조직의 사람은 아니었다. 이정재는 이천 사람으로서 뛰어난 씨름선수였다. 나이 스물이 되기까지 그가 씨름판에서 상으로 받은 황소만 열 마리가 넘었다고 한다. 
221,51,25~30,나레이션,"징용을 피하기 위해 잠시 보국대에 머물면서 김두한의 부하로 있었으나, 그는 곧 동대문 시장을 장악하면서 한국 최고의 정치주먹조직 보스로 성장하게 된다."
223,51,25~30,이정재,여기에 동대문 시장 장사장님이라고 오시지 않았나?*
227,51,25~30,이정재,예. 그동안 별고 없으셨습니까?*
231,51,25~30,이정재,"예, 그랬습니다. 해방이 되고 잠시 이천에 가 있다가 막 올라오는 길입니다."
233,51,25~30,이정재,헌데 무슨 일이 있습니까?
236,51,25~30,이정재,어차피 보국대에서 순사일을 좀 봤습니다. 해서 경찰이 생기면 거기 들어가려고 하고 있습니다. 그럼 그동안 잠시 신세 좀 지겠습니다.
239,51,30~35,김영태,"두한이, 다시 한 번 생각하게... 치안대도 어쩌지 못하고 그렇게 놔둔 것이 아닌가?"
240,51,30~35,두한,그러니까 우리가 나서야지요. 더 이상 그 일에 대해선 말씀하지 마십쇼.
242,51,30~35,두한,영균아...
243,51,30~35,신영균,"예, 큰형님."
244,51,30~35,두한,다이너마이트는 어떻게 됐어?
245,51,30~35,신영균,충분히 챙겨 놓았습니다.
247,51,30~35,문영철,싸움이라면 몰라도 폭탄을 쓰는 건 처음인데...
248,51,30~35,두한,"그렇게 대단하게 생각할 거 없어. 사람을 다치게 할 건 아니니까. 그리고 영균아, 애들은 니가 단속해. 독종들로 별동대를 만들어 봐. 이건 전투야?"
249,51,30~35,신영균,"예, 큰형님... 옥니에 앞이마 튀어나온 놈들로 꽉 추려보겠습니다."
250,51,30~35,두한,오늘 밤 자정이다. 그 이전에 저놈들이 충분히 놀랄 수 있도록 눈치껏 이 다이너마이트를 보이지 않는 담벼락 쪽에 설치를 해야 돼. 크게 어렵지 않겠지?
251,51,30~35,신영균,"예, 큰형님. 저놈들도 옛날 같지 않더라구요. 군기가 많이 빠졌어요. 패전군들 아닙니까?"
252,51,30~35,두한,그래도 군인들이다. 실수 없도록 해!
253,51,30~35,신영균,"알겠습니다, 큰형님"
254,51,30~35,개코,"옴마야, 오늘밤 자정이라고? 아따 너무 이른거 아닐까?"
255,51,30~35,정진영,두한아! 왔구나? 하하!
256,51,30~35,두한,"어, 진영아!"
257,51,30~35,개코,"아따 진영아! 너는 그래, 어딜 그렇게 쏘다댕기다 오냐 그래? 에이...*"
258,51,30~35,정진영,소식 들었다. 건준 치안대에 들어왔다고?
259,51,30~35,두한,어디서 들었어?
260,51,30~35,정진영,종로바닥에 벌써 소문이 자자해.
261,51,30~35,두한,근데 넌 어디있다 이제 나타나는 거야? 그 신불출이라는 사람하고 같이 있었던 거냐?
262,51,30~35,정진영,응. 그렇게 됐어.
263,51,30~35,두한,짜식... 그 사람이 그렇게 잘해주냐? 이거 친구 얼굴 보기가 이렇게 힘들어서야 원... 자 앉아라.
264,51,30~35,신영균,형님 저희들은 나가서 일 보겠습니다.*
265,51,30~35,두한,그래. 수고 좀 해라.
266,51,30~35,정진영,"두한아, 널 보고 싶어하는 분이 계신다."
267,51,30~35,두한,아니 누가?
268,51,30~35,정진영,박헌영 동지라고 조선 공산당 당수이셔...
269,51,30~35,두한,조선 공산당 당수?
271,51,30~35,정진영,대단한 분이야. 일제에 맞서 가열차게 투쟁을 하신 혁명 투쟁의 영도자이셔.
273,51,30~35,정진영,"그야 만나보면 알게 되겠죠. 부탁한다, 꼭 한번만 만나줘. 응? 오늘밤 어떠니? 아 잘됐어. 그 분도 오늘 시간이 되신다고 하시거든. 그렇게 해주겠어? 부탁한다."
274,51,30~35,두한,네 생각이 그렇다면 만나보기는 하겠는데...
275,51,30~35,정진영,"고맙다. 고맙다, 두한아...!"
277,51,30~35,신영균,나가있어.
278,51,30~35,신영균,아 새끼...! 나가있어. 앞으로 나가. 
279,51,30~35,신영균,이야~ 새끼! 너 이름이 뭐냐?
280,51,30~35,김관철,김관철입니다.
281,51,30~35,신영균,김관철이라... 새끼 힘 좀 쓰게 생겼구나! 어? 나가 인마. 나가.
282,51,30~35,신영균,"야, 만길아! 니가 얘들을 한쪽으로 데리고 가라."
284,51,30~35,신영균,그리고 휘발유?
286,51,30~35,신영균,니가 교육을 제대로 시켜. 무관부를 점령하지 못하면은 죽는다는 것을 알으켜 주란 말이야. 알겠어?
289,51,30~35,신영균,잘 들어라 니들은 아주 운이 좋은 놈들이다. 재미있는 일을 하게 될 테니까 말이야. 그리고 만길이. 광목 몇 통 팔아가지고 일단 실컷 먹이라고.
291,51,30~35,신영균,좋았어...! 아주 좋았어!
292,51,35~40,정진영,박헌영이란 분은 우리 나라에 공산당을 들여오신 혁명의 선봉이셔. 모두들 그 분을 만나는 것 자체를 무한한 영광으로 알지.*
293,51,35~40,두한,그래...?*
294,51,35~40,정진영,신불출 선생은 말씀하셨어. 곧 모든 것이 다 프롤레타리아의 기치 아래 모이고 단결할 것이라고 말이야.*
295,51,35~40,정진영,막스 레닌의 공산주의 사상은 만인이 평등하고 잘 사는 사회를 말하는 거야. 이제 비로소 그것을 실현할 수 있는 세상이 온 거라고...*
296,51,35~40,두한,"진영아, 너는 마치 뭐에 씌운 사람 같다? 막스가 누군지 공산주의가 뭔지 나는 잘 몰라. 나는 그저 내 친구 진영이가 가자고 하기에 가보는 것 뿐이야."
297,51,35~40,정진영,고마워. 하지만 너도 곧 알게 된다. 위대한 박헌영 동지를 만나게 되면 알게될 거라구...
298,51,35~40,두한,"그래, 일단 가보자."
299,51,35~40,김영태,거 진영이 많이 달라졌어.
301,51,35~40,문영철,헌데 박헌영이가 누굽니까? 아니 그 사람이 왜 두한이를 보자고 하는 거죠?
302,51,35~40,김영태,그러게 말이다. 하기사 건준이 다 뭐냐? 다 공산당 골수분자들이 세운 조직이야. 난 두한이가 치안대로 들어간 것도 마음에 들지 않아. 
303,51,35~40,김영태,"좌익이다, 우익이다. 너무 한쪽으로 치우치는 건 위험하거든. 박헌영이라? 지독한 공산주의자이지. 평생 감옥을 제 집처럼 들락거린 사람이야."
305,51,35~40,정진영,"참, 인사해라. 두한아, 김천호라고 함께 일하고 있어.*"
307,51,35~40,두한,주먹께나 쓰게 생겼구만.
308,51,35~40,정진영,사실이야. 당수를 했어. 한 때는 아주 날렸지. 들어가자.
311,51,35~40,두한,김두한입니다.*
313,51,35~40,나레이션,박헌영. 조선 공산주의 운동의 대표적인 인물이다. 일제 말기 전라남도 광주에서 기와 공장의 인부로 숨어 지내다가 해방을 맞은 그에게는 목숨을 걸고 혁명투쟁에 나설 수많은 공산혁명가들이 주위에 구름처럼 포진하고 있었다. 
315,51,35~40,나레이션,"그러나 그의 극좌노선은 해방 공간에서 좌우의 극심한 대립을 낳게 되었고, 결국에는 비극적인 민족분단으로 이어지게 된다."
318,51,35~40,두한,제 아버님을 아십니까?
325,51,40~45,정진영,"박헌영 동지와 네가 독대를 하다니 정말이지 꿈만 같다, 두한아.."
326,51,40~45,두한,그 사람이 그렇게 대단한 분이냐?
327,51,40~45,정진영,그럼... 말했잖아. 마치 신과 같은 분이라구.
328,51,40~45,두한,그 분은 나에게 혁명 투쟁에 앞장서라고 했어. 혁명...? 그 말이 나에겐 몹시 생소해.
329,51,40~45,정진영,"그렇지 않아, 두한아. 아주 쉬운 거야. 너와 나는 거지였어. 우리가 바라는 세상은 모두가 평등해지는 세상이야. 가난한 사람도 부자도 없는 그런 세상 말이야."
330,51,40~45,두한,그래... 뜻은 좋은 것 같다. 아무튼 생각을 해보자.
333,51,40~45,두한,괜찮습니다.
336,51,40~45,두한,예. 할머니.
338,51,40~45,두한,자주 들어오지 못해... 죄송스럽습니다.
344,51,40~45,두한,저 그럼... 편히 쉬십시오.*
345,51,40~45,두한,고생이 많소... 많이 힘들 줄로 아오.*
347,51,40~45,두한,뭐 별일이야 있겠소... 많이 컸구려.*
350,51,40~45,두한,어디...! 하하하 그녀석. 애비를 알아보겠냐? 사내녀석으로 태어났으면 딱 좋을 녀석이야. 그래. 여자면 어떠냐. 여장부로 크거라. 하하하... 쑥쑥 크거라! 하하하...*
354,51,40~45,신영균,큰형님! 방금전에 애들한테 연락이 왔었습니다. 모든 준비는 완전히 끝났습니다. 기다리고 있습니다. 형님.
355,51,45~50,두한,음 그래 수고했다. 작전은 간단하다. 준비해놓은 다이너마이트를 터뜨리면서 한쪽 담을 무너뜨리는 거야. 
356,51,45~50,두한,그리고 저놈들이 이쪽으로 시선을 돌리는 사이에 우리는 바리케이드를 부수고 진입하는 거다. 여기저기서 터지면 정신이 없을 거야. 
357,51,45~50,두한,말해두지마는 사람은 상하게 하지 마라. 주먹은 아무리 써도 좋다. 알겠나?
358,51,45~50,신영균,"예, 큰형님."
359,51,45~50,김영태,거 인원이 꽤 많을 텐데?
360,51,45~50,신영균,경계병력 백여명 정도만 있다고 들었습니다.
361,51,45~50,두한,그 놈들은 지금 제정신들이 아닐 겁니다. 빨리 본국으로 돌어가고 싶어하는 놈들일 거예요. 
362,51,45~50,두한,아무튼 우리 돌격대가 기습을 하면은 형님은 무옥이 영철이와 함께 인원의 반을 나눠서 정면으로 들어오십쇼.
363,51,45~50,김영태,알았네...
365,51,45~50,두한,이번 일은 신속하고 정확하게 이뤄져야 한다. 목표는 무관부의 책임자를 잡아서 확답을 받는 일이야.
366,51,45~50,두한,"다시 말해두지마는, 잘못하면 우리 모두가 죽을 수가 있어. 상대는 총을 들고 있다는 사실을 잊어서는 안됄 것이야."
368,51,45~50,두한,"하지만 겁먹을 건 없다. 먼저 기선을 제압하기만 하면 돼. 한번 기가 꺾인 적은 저항하지 못하는 법이니까... 자, 일어들 나자."
370,51,45~50,문영철,"이미 오야붕의 명령은 떨어졌다. 자, 시작해보자구. 가자!"
376,51,45~50,두한,목표지점으로 돌격한다. 가자.*
378,51,45~50,김영태,가자!*
383,51,50~55,두한,"대좌, 잘 들어라. 당신이 내 요구에 응하지 않으면 다 함께 죽을수 밖에 없다."
387,51,50~55,두한,그렇지 않다. 난 김두한이다! 대한 독립군 총사령관 김좌진 장군의 아들 김두한이다.
389,51,50~55,두한,"그래, 김두한이다. 김두한!"
392,51,50~55,두한,여기는 조선의 땅이다. 그 중에서도 종로는 내가 책임지고 있는 땅이다. 그걸 아는가?
394,51,50~55,두한,나는 오래 전부터 우리 아버님이신 김좌진 장군님의 뜻을 따라서 살기로 한 사람이다. 따라서 네가 보기엔 우리가 폭도로 보일지 모르지만 그렇지가 않다. 
395,51,50~55,두한,"우리는 건국준비위원회 치안대 소속으로 이곳에 온 것이야. 그러니까 나라를 대표해서 왔다, 이런 말이야."
397,51,50~55,두한,내 땅과 내 구역에서 떠나라.
399,51,50~55,두한,너희 일본은 어차피 패망했다. 일장기는 가당치도 않다. 어서! 아니면 이게 곧 폭발할 것이다. 어찌할 건가?
401,51,50~55,두한,무장을 해제하고 너희 군대를 이끌고 이 종로를 떠나라. 아니면 함께 폭사하자.
403,51,50~55,두한,대답이 없는 걸 보니 다 함께 죽자는 모양이군... 좋다. 여기서 다 같이 죽자.
405,51,50~55,두한,그럴지도 모르지. 그러나 밖으로 문은 다 잠겼다. 너희들은 한 놈도 빠져나갈 수가 없다.*
414,51,50~55,두한,대답하라! 내 요구에 대해서 아직 답이 오지 않았다. 너의 부하들을 무장해제하고 이곳을 떠나라!*
416,52,0~5,두한,김두한
418,52,0~5,두한,나는 오래 전부터 내 아버님이신 김좌진 장군님의 뜻을 따라서 살기로 한 사람이다. 따라서 네가 보기엔 우리들이 폭도로 보일지 모르지만 그렇지가 않다. 
419,52,0~5,두한,우리는 건국준비위원회 치안대 소속으로 이곳에 온 것이야. 그러니까 나라를 대표해서 왔다 이런 말이야.
421,52,0~5,두한,내 땅과 내 구역에서 떠나라.
423,52,0~5,두한,너희 일본은 어차피 패망했다. 일장기는 가당치도 않다. 어서!
433,52,0~5,김영태,기적 같은 일이네. 우리가 무관부를 접수했어.*
435,52,0~5,문영철,"나도 여지껏 수도 없이 싸움판을 다녀봤지만 이번 같은 일은 처음이다. 두한아, 우린 자존심을 지켰다. 종로의 자존심 말이야.*"
455,52,5~10,개코,"아이, 비켜봐여. 비켜봐. 으아따... 참말로 으잉. 죽여불구마잉! 아, 긍께로... 이것이 참말로 총이여?*"
457,52,5~10,두한,뚜껑 다 닫아라...*
458,52,5~10,개코,닫으라? 아니 어째서 뚜껑을 다 닫으라고...*
459,52,5~10,두한,다 닫아서 계속 옮겨. 만길이가 창고에 넣고 열쇠를 보관해.*
462,52,5~10,문영철,"와, 피복이 엄청나게 많네? 야, 적어도 오백 명은 입을 수 있겠다. 응? 군복에 군화에... 거기다가 식량도 열 트럭 분은 될 것 같은데?*"
463,52,5~10,두한,지역마다 아이들이 많아. 쓸데가 많을 거야.*
465,52,5~10,두한,하지만 무기는 반드시 단속을 해야한다. 총을 나눠주면 사고가 나. 우리는 치안을 유지하는 사람으로서 사고를 치면 안된다.*
466,52,5~10,두한,영균이 니가 깊숙이 넣고 열쇠를 보관해. 하나라도 새나가면 다 네 책임이다.*
467,52,5~10,신영균,"알겠습니다, 큰형님...*"
468,52,5~10,개코,으이... 아따 그나저나 요것이 총이 그냥 수백정인디 요것을 어치케 창고에다가 박으라고이... 하하하! 아따 그나저나 요것을 그냥 아그들한테 주면은 그냥 좋아갖고 그냥 확 미쳐불 것인데 그냥. 자세 나와부냐?*
470,52,5~10,두한,아이들을 잘 단속해야 될 겁니다.*
471,52,5~10,두한,영균이한테 얘기는 했지만 해방이 되고 세상이 어지럽습니다. 자칫 잘못하면은 어디로 튈지 몰라요.
473,52,5~10,문영철,그건 그래. 무기가 생기고 나니까 왠지 불안해진다...?
474,52,5~10,김영태,근로보국대를 거치면서 우리 조직은 엄청나게 방대해졌어. 사실 지금부터가 걱정이야. 어떻게 그들을 끌고 나가느냐 하는것 말이야.
475,52,5~10,두한,단순한 주먹이나 건달 노릇은 안 됩니다. 새로운 조국이 생겼습니다. 모두가 한다하는 이 나라 청년들이 아닙니까? 우리가 지금 치안대의 일을 맡았듯이 더 찾아보면 나라를 위해 할 일이 또 있을 겁니다.
476,52,5~10,정진영,두한아...! 하하하...
477,52,5~10,두한,어 진영아...?
478,52,5~10,정진영,소식 들었다. 해군 무관부를 접수했다면서?
479,52,5~10,두한,허허 어디서 들었어?
480,52,5~10,정진영,"하하하! 이야... 종로바닥에는 벌써 소문이 자자해. 다들 그 이야기 뿐이야. 대단하다, 두한아... 정말 거국적인 투쟁이었어. 박헌영 동지께서도 그 일을 들으시고 영웅적인 쾌거라고 말씀하셨어. 정말 훌륭한 동지를 보았다고 말씀하셨다고!"
482,52,5~10,두한,"허허, 여전히 그 박헌영이라는 사람 얘기로구나."
484,52,5~10,문영철,"뭐, 어제 오늘일이 아니잖냐. 이미 오래된 일이야."
485,52,5~10,정진영,그래요. 우린 모두 불행한 과거를 가지고 있어. 내가 알고 있는 공산당만이 그 불평등한 걸 바꿀 수가 있는 거라고. 모두다 할 일들이 있을 거야. 위대한 붉은 국가 건설을 위해서 말이야.
486,52,5~10,김영태,"이봐, 진영이? 여기 있는 사람들은 두한이를 비롯해서 그런 사상적인 문제는 관심이 없어."
487,52,5~10,정진영,"그게 무슨 말씀이십니까? 지금 세상 돌아가는 것을 알아야 합니다. 건국준비위원회가 뭡니까? 그 상당수가 다 좌익, 즉 공산당 하는 사람들입니다. 곧 인민 공화국이 생길 겁니다. 우린 모두가 그 일에 앞장을 서야 합니다."
488,52,5~10,두한,그만해라. 그만해. 우리 어디 가서 밥이나 먹자.
489,52,5~10,정진영,"아니야, 난 또 가봐야 한다. 할 일이 많아. 아무튼 축하한다. 역시 두한이 너밖에 할 수 없는 일을 또 해낸 거야. 하하하... 난리라고... 지금 아주 난리들이야. 하하하하하..."
490,52,5~10,문영철,이야... 진영이 쟤가 어떻게 딴 사람 같다?
